review_id,review,rating,date,source,bank,sentiment_label,sentiment_score,normalized_sentiment,final_sentiment,identified_theme
0,best,5,2025-11-25,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9997941851615906,0.9997941851615906,Positive,General/Other
1,good app,5,2025-11-25,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998493194580078,0.9998493194580078,Positive,General/Other
2,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9993435740470886,-0.9993435740470886,Negative,General/Other
3,nice app...,5,2025-11-25,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9997116923332214,0.9997116923332214,Positive,General/Other
4,very good banking service and fast service,5,2025-11-24,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998499155044556,0.9998499155044556,Positive,Transaction Performance
5,thanks blc this app help me to use all time,5,2025-11-24,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9971639513969421,0.9971639513969421,Positive,Customer Support
6,good,5,2025-11-24,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998161196708679,0.9998161196708679,Positive,General/Other
7,why we can't send money to other people telebirr wallets??,1,2025-11-24,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9984826445579529,-0.9984826445579529,Negative,General/Other
8,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9856644868850708,-0.9856644868850708,Negative,General/Other
9,በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.8832131028175354,-0.8832131028175354,Negative,General/Other
10,wow,5,2025-11-23,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.999592125415802,0.999592125415802,Positive,General/Other
11,good,5,2025-11-23,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998161196708679,0.9998161196708679,Positive,General/Other
12,nice,5,2025-11-22,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998552799224854,0.9998552799224854,Positive,General/Other
13,you are the reason why i got ye chogara himem,1,2025-11-22,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9818922877311707,-0.9818922877311707,Negative,General/Other
14,it is so smart app i recommend it for everyone,5,2025-11-22,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998483657836914,0.9998483657836914,Positive,General/Other
15,excellent,5,2025-11-22,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998434782028198,0.9998434782028198,Positive,General/Other
16,good,5,2025-11-21,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998161196708679,0.9998161196708679,Positive,General/Other
17,ዳጊ,5,2025-11-21,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.6970565915107727,-0.6970565915107727,Negative,General/Other
18,absolutely right,5,2025-11-21,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998525381088257,0.9998525381088257,Positive,General/Other
19,good app,5,2025-11-21,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998493194580078,0.9998493194580078,Positive,General/Other
20,mid application it's so annoying,3,2025-11-20,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9997883439064026,-0.9997883439064026,Negative,General/Other
21,I used morethan one year,4,2025-11-20,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9802079796791077,-0.9802079796791077,Negative,General/Other
22,no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9920698404312134,-0.9920698404312134,Negative,General/Other
23,"It's great app,I love this app",5,2025-11-20,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998750686645508,0.9998750686645508,Positive,General/Other
24,Nice,5,2025-11-19,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998552799224854,0.9998552799224854,Positive,General/Other
25,suckkkks,1,2025-11-19,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9737536311149597,-0.9737536311149597,Negative,General/Other
26,not allowing to transfer and showing current statement updates.,1,2025-11-19,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9991471767425537,-0.9991471767425537,Negative,Transaction Performance
27,I love you this app,5,2025-11-19,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998642206192017,0.9998642206192017,Positive,General/Other
28,"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9993645548820496,0.9993645548820496,Positive,Transaction Performance
29,make life easy,5,2025-11-19,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.999527096748352,0.999527096748352,Positive,User Interface & Experience
30,securr,5,2025-11-19,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9891945123672485,-0.9891945123672485,Negative,General/Other
31,My most optional bank,5,2025-11-17,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.7555279731750488,0.7555279731750488,Positive,General/Other
32,5 star,5,2025-11-17,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9964116215705872,0.9964116215705872,Positive,General/Other
33,it is fantastic app.,5,2025-11-16,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998733997344971,0.9998733997344971,Positive,General/Other
34,excellent,5,2025-11-16,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998434782028198,0.9998434782028198,Positive,General/Other
35,sifen,5,2025-11-16,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.8473549485206604,-0.8473549485206604,Negative,General/Other
36,i like this√,4,2025-11-16,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998555183410645,0.9998555183410645,Positive,General/Other
37,Ok,3,2025-11-16,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555847,0.9997851252555847,Positive,General/Other
38,ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9916301369667053,-0.9916301369667053,Negative,Account Access Issues
39,"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9996232986450195,-0.9996232986450195,Negative,Account Access Issues
40,Like,5,2025-11-13,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9910564422607422,0.9910564422607422,Positive,General/Other
41,Nice and very useful app i like it!,5,2025-11-13,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998588562011719,0.9998588562011719,Positive,General/Other
42,good,5,2025-11-13,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998161196708679,0.9998161196708679,Positive,General/Other
43,Good,5,2025-11-13,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998161196708679,0.9998161196708679,Positive,General/Other
44,Good,5,2025-11-13,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998161196708679,0.9998161196708679,Positive,General/Other
45,smart app,4,2025-11-12,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.999789297580719,0.999789297580719,Positive,General/Other
46,good App,5,2025-11-12,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998493194580078,0.9998493194580078,Positive,General/Other
47,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.992516815662384,-0.992516815662384,Negative,Customer Support
48,ok,5,2025-11-11,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555847,0.9997851252555847,Positive,General/Other
49,cbe is my choice,4,2025-11-11,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9987378716468811,0.9987378716468811,Positive,General/Other
50,Awesome,5,2025-11-11,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998682737350464,0.9998682737350464,Positive,General/Other
51,I am not able to transfer. The app is not responding,1,2025-11-11,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.999775230884552,-0.999775230884552,Negative,Transaction Performance
52,Very convenient App,5,2025-11-11,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9945734143257141,0.9945734143257141,Positive,General/Other
53,excellent but sometimes can not connect,5,2025-11-10,Google Play,Commercial Bank of Ethiopia,NEGATIVE,0.9832204580307007,-0.9832204580307007,Negative,General/Other
54,good app,5,2025-11-10,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9998493194580078,0.9998493194580078,Positive,General/Other
55,wow apk,5,2025-11-10,Google Play,Commercial Bank of Ethiopia,POSITIVE,0.9992477893829346,0.9992477893829346,Positive,General/Other
