review_id,review,rating,date,source,bank
0,best,5,2025-11-25,Google Play,Commercial Bank of Ethiopia
1,good app,5,2025-11-25,Google Play,Commercial Bank of Ethiopia
2,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Google Play,Commercial Bank of Ethiopia
3,nice app...,5,2025-11-25,Google Play,Commercial Bank of Ethiopia
4,very good banking service and fast service,5,2025-11-24,Google Play,Commercial Bank of Ethiopia
5,thanks blc this app help me to use all time,5,2025-11-24,Google Play,Commercial Bank of Ethiopia
6,good,5,2025-11-24,Google Play,Commercial Bank of Ethiopia
7,why we can't send money to other people telebirr wallets??,1,2025-11-24,Google Play,Commercial Bank of Ethiopia
8,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Google Play,Commercial Bank of Ethiopia
9,በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Google Play,Commercial Bank of Ethiopia
10,wow,5,2025-11-23,Google Play,Commercial Bank of Ethiopia
11,good,5,2025-11-23,Google Play,Commercial Bank of Ethiopia
12,nice,5,2025-11-22,Google Play,Commercial Bank of Ethiopia
13,you are the reason why i got ye chogara himem,1,2025-11-22,Google Play,Commercial Bank of Ethiopia
14,it is so smart app i recommend it for everyone,5,2025-11-22,Google Play,Commercial Bank of Ethiopia
15,excellent,5,2025-11-22,Google Play,Commercial Bank of Ethiopia
16,good,5,2025-11-21,Google Play,Commercial Bank of Ethiopia
17,ዳጊ,5,2025-11-21,Google Play,Commercial Bank of Ethiopia
18,absolutely right,5,2025-11-21,Google Play,Commercial Bank of Ethiopia
19,good app,5,2025-11-21,Google Play,Commercial Bank of Ethiopia
20,mid application it's so annoying,3,2025-11-20,Google Play,Commercial Bank of Ethiopia
21,I used morethan one year,4,2025-11-20,Google Play,Commercial Bank of Ethiopia
22,no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,Google Play,Commercial Bank of Ethiopia
23,"It's great app,I love this app",5,2025-11-20,Google Play,Commercial Bank of Ethiopia
24,Nice,5,2025-11-19,Google Play,Commercial Bank of Ethiopia
25,suckkkks,1,2025-11-19,Google Play,Commercial Bank of Ethiopia
26,not allowing to transfer and showing current statement updates.,1,2025-11-19,Google Play,Commercial Bank of Ethiopia
27,I love you this app,5,2025-11-19,Google Play,Commercial Bank of Ethiopia
28,"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Google Play,Commercial Bank of Ethiopia
29,make life easy,5,2025-11-19,Google Play,Commercial Bank of Ethiopia
30,securr,5,2025-11-19,Google Play,Commercial Bank of Ethiopia
31,My most optional bank,5,2025-11-17,Google Play,Commercial Bank of Ethiopia
32,5 star,5,2025-11-17,Google Play,Commercial Bank of Ethiopia
33,it is fantastic app.,5,2025-11-16,Google Play,Commercial Bank of Ethiopia
34,excellent,5,2025-11-16,Google Play,Commercial Bank of Ethiopia
35,sifen,5,2025-11-16,Google Play,Commercial Bank of Ethiopia
36,i like this√,4,2025-11-16,Google Play,Commercial Bank of Ethiopia
37,Ok,3,2025-11-16,Google Play,Commercial Bank of Ethiopia
38,ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,Google Play,Commercial Bank of Ethiopia
