review_text,rating,date,source,bank
best,5,2025-11-25 20:27:20,Google Play,Commercial Bank of Ethiopia
good app,5,2025-11-25 18:10:35,Google Play,Commercial Bank of Ethiopia
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25 17:14:22,Google Play,Commercial Bank of Ethiopia
nice app...,5,2025-11-25 10:24:19,Google Play,Commercial Bank of Ethiopia
very good banking service and fast service,5,2025-11-24 21:09:29,Google Play,Commercial Bank of Ethiopia
thanks blc this app help me to use all time,5,2025-11-24 14:36:07,Google Play,Commercial Bank of Ethiopia
good,5,2025-11-24 11:54:09,Google Play,Commercial Bank of Ethiopia
why we can't send money to other people telebirr wallets??,1,2025-11-24 08:44:51,Google Play,Commercial Bank of Ethiopia
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23 23:12:04,Google Play,Commercial Bank of Ethiopia
በጣም ቀላልና ምቹ ነው።,5,2025-11-23 20:22:11,Google Play,Commercial Bank of Ethiopia
wow,5,2025-11-23 15:30:09,Google Play,Commercial Bank of Ethiopia
good,5,2025-11-23 10:13:39,Google Play,Commercial Bank of Ethiopia
nice,5,2025-11-22 20:27:39,Google Play,Commercial Bank of Ethiopia
you are the reason why i got ye chogara himem,1,2025-11-22 13:33:11,Google Play,Commercial Bank of Ethiopia
it is so smart app i recommend it for everyone,5,2025-11-22 11:51:00,Google Play,Commercial Bank of Ethiopia
excellent,5,2025-11-22 11:34:12,Google Play,Commercial Bank of Ethiopia
good,5,2025-11-21 22:11:35,Google Play,Commercial Bank of Ethiopia
ዳጊ,5,2025-11-21 19:55:17,Google Play,Commercial Bank of Ethiopia
absolutely right,5,2025-11-21 18:45:37,Google Play,Commercial Bank of Ethiopia
good app,5,2025-11-21 18:07:17,Google Play,Commercial Bank of Ethiopia
mid application it's so annoying,3,2025-11-20 18:58:06,Google Play,Commercial Bank of Ethiopia
